Name,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,1,Grass,Poison,318,45,49,49,65,65,45,1,False
Ivysaur,2,Grass,Poison,405,60,62,63,80,80,60,1,False
Venusaur,3,Grass,Poison,525,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,3,Grass,Poison,625,80,100,123,122,120,80,1,False
Charmander,4,Fire,,309,39,52,43,60,50,65,1,False
Charmeleon,5,Fire,,405,58,64,58,80,65,80,1,False
Charizard,6,Fire,Flying,534,78,84,78,109,85,100,1,False
CharizardMega Charizard X,6,Fire,Dragon,634,78,130,111,130,85,100,1,False
CharizardMega Charizard Y,6,Fire,Flying,634,78,104,78,159,115,100,1,False
Squirtle,7,Water,,314,44,48,65,50,64,43,1,False
Wartortle,8,Water,,405,59,63,80,65,80,58,1,False
Blastoise,9,Water,,530,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,9,Water,,630,79,103,120,135,115,78,1,False
Caterpie,10,Bug,,195,45,30,35,20,20,45,1,False
Metapod,11,Bug,,205,50,20,55,25,25,30,1,False
Butterfree,12,Bug,Flying,395,60,45,50,90,80,70,1,False
Weedle,13,Bug,Poison,195,40,35,30,20,20,50,1,False
Kakuna,14,Bug,Poison,205,45,25,50,25,25,35,1,False
Beedrill,15,Bug,Poison,395,65,90,40,45,80,75,1,False
BeedrillMega Beedrill,15,Bug,Poison,495,65,150,40,15,80,145,1,False
Pidgey,16,Normal,Flying,251,40,45,40,35,35,56,1,False
Pidgeotto,17,Normal,Flying,349,63,60,55,50,50,71,1,False
Pidgeot,18,Normal,Flying,479,83,80,75,70,70,101,1,False
PidgeotMega Pidgeot,18,Normal,Flying,579,83,80,80,135,80,121,1,False
Rattata,19,Normal,,253,30,56,35,25,35,72,1,False
Raticate,20,Normal,,413,55,81,60,50,70,97,1,False
Spearow,21,Normal,Flying,262,40,60,30,31,31,70,1,False
Fearow,22,Normal,Flying,442,65,90,65,61,61,100,1,False
Ekans,23,Poison,,288,35,60,44,40,54,55,1,False
Arbok,24,Poison,,438,60,85,69,65,79,80,1,False
Pikachu,25,Electric,,320,35,55,40,50,50,90,1,False
Raichu,26,Electric,,485,60,90,55,90,80,110,1,False
Sandshrew,27,Ground,,300,50,75,85,20,30,40,1,False
Sandslash,28,Ground,,450,75,100,110,45,55,65,1,False
Nidoran♀,29,Poison,,275,55,47,52,40,40,41,1,False
Nidorina,30,Poison,,365,70,62,67,55,55,56,1,False
Nidoqueen,31,Poison,Ground,505,90,92,87,75,85,76,1,False
Nidoran♂,32,Poison,,273,46,57,40,40,40,50,1,False
Nidorino,33,Poison,,365,61,72,57,55,55,65,1,False
Nidoking,34,Poison,Ground,505,81,102,77,85,75,85,1,False
Clefairy,35,Fairy,,323,70,45,48,60,65,35,1,False
Clefable,36,Fairy,,483,95,70,73,95,90,60,1,False
Vulpix,37,Fire,,299,38,41,40,50,65,65,1,False
Ninetales,38,Fire,,505,73,76,75,81,100,100,1,False
Jigglypuff,39,Normal,Fairy,270,115,45,20,45,25,20,1,False
Wigglytuff,40,Normal,Fairy,435,140,70,45,85,50,45,1,False
Zubat,41,Poison,Flying,245,40,45,35,30,40,55,1,False
Golbat,42,Poison,Flying,455,75,80,70,65,75,90,1,False
Oddish,43,Grass,Poison,320,45,50,55,75,65,30,1,False
Gloom,44,Grass,Poison,395,60,65,70,85,75,40,1,False
Vileplume,45,Grass,Poison,490,75,80,85,110,90,50,1,False
Paras,46,Bug,Grass,285,35,70,55,45,55,25,1,False
Parasect,47,Bug,Grass,405,60,95,80,60,80,30,1,False
Venonat,48,Bug,Poison,305,60,55,50,40,55,45,1,False
Venomoth,49,Bug,Poison,450,70,65,60,90,75,90,1,False
Diglett,50,Ground,,265,10,55,25,35,45,95,1,False
Dugtrio,51,Ground,,405,35,80,50,50,70,120,1,False
Meowth,52,Normal,,290,40,45,35,40,40,90,1,False
Persian,53,Normal,,440,65,70,60,65,65,115,1,False
Psyduck,54,Water,,320,50,52,48,65,50,55,1,False
Golduck,55,Water,,500,80,82,78,95,80,85,1,False
Mankey,56,Fighting,,305,40,80,35,35,45,70,1,False
Primeape,57,Fighting,,455,65,105,60,60,70,95,1,False
Growlithe,58,Fire,,350,55,70,45,70,50,60,1,False
Arcanine,59,Fire,,555,90,110,80,100,80,95,1,False
Poliwag,60,Water,,300,40,50,40,40,40,90,1,False
Poliwhirl,61,Water,,385,65,65,65,50,50,90,1,False
Poliwrath,62,Water,Fighting,510,90,95,95,70,90,70,1,False
Abra,63,Psychic,,310,25,20,15,105,55,90,1,False
Kadabra,64,Psychic,,400,40,35,30,120,70,105,1,False
Alakazam,65,Psychic,,500,55,50,45,135,95,120,1,False
AlakazamMega Alakazam,65,Psychic,,590,55,50,65,175,95,150,1,False
Machop,66,Fighting,,305,70,80,50,35,35,35,1,False
Machoke,67,Fighting,,405,80,100,70,50,60,45,1,False
Machamp,68,Fighting,,505,90,130,80,65,85,55,1,False
Bellsprout,69,Grass,Poison,300,50,75,35,70,30,40,1,False
Weepinbell,70,Grass,Poison,390,65,90,50,85,45,55,1,False
Victreebel,71,Grass,Poison,490,80,105,65,100,70,70,1,False
Tentacool,72,Water,Poison,335,40,40,35,50,100,70,1,False
Tentacruel,73,Water,Poison,515,80,70,65,80,120,100,1,False
Geodude,74,Rock,Ground,300,40,80,100,30,30,20,1,False
