,FIPS,eevp,electTotal,electionDate,level,office,state,winner,votes_R_2020,votes_D_2020,votes_third_party_2020,votes_total_2020,export_time,acs_pct_pop_nonwhite,acs_pct_management,acs_pct_service,pct_pop25+_bachelor_higher,median_household_income,per_capita_income,category_education,category_income,category_nonwhite,category_jobs_management,category_jobs_service,pew_classification,region,category_unemployment,date,POPESTIMATE2019,deaths,deaths_per_thousand,deaths_percap_pctile,cases,cases_per_thousand,cases_percap_pctile,case_pct_change,BLS_Area_Code,Month,Month_Str,Labor Force,Employment,Unemployment,Unemployment Rate,county,pct_2000_dem,pct_2000_gre,pct_2000_rep,pct_2004_dem,pct_2004_rep,pct_2008_dem,pct_2008_rep,pct_2012_dem,pct_2012_rep,pct_2016_dem,pct_2016_rep,votes_2000,votes_2004,votes_2008,votes_2012,votes_2016,category_2016_dem,category_2016_rep,votes_d_2016,votes_r_2016,votes_cast_pct_2016
0,01061,100,0,2020-11-03,FIPSCode,presidential,AL,R,10848,1595,90,12533,20201229-0704,16.0658336793628,25.1,16.0,11.1,38142.0,20471.0,bottom 10%,,,,,Smaller metro,South,,2020-10-16 0:00:00,26271,7,0.266453503863575,45,814,30.9847360207072,76,0.259839777081156,CN0106100000000,8,Aug,10947,10519,428,3.9,Geneva,28.9674652160267,1.0147504969139,68.9193430275133,20.0855513307984,79.296577946768,18.3065968945697,80.7840782362529,18.012367491166,81.0512367491166,12.9698928389181,84.997448545671,9559,10520,11657,11320,11758,,top 10% Trump by percent vote,1525,9994,1.065912570164994
1,01021,100,0,2020-11-03,FIPSCode,presidential,AL,R,16085,3073,123,19281,20201229-0704,19.8611427270657,24.3,13.3,14.2,45182.0,24611.0,,,,bottom 10%,bottom 10%,Large suburban,South,,2020-10-16 0:00:00,44428,31,0.697758170523093,77,1767,39.7722157198163,88,0.0943205798697128,CN0102100000000,8,Aug,19553,18628,925,4.7,Chilton,31.8446859263185,0.609594487145507,66.6975881261595,22.6322410591265,76.852572934763,20.6578577452909,78.4931121731796,19.4536708280838,79.7846752949261,15.8473515161413,82.1002776416789,15092,16693,17785,17462,18369,,top 10% Trump by percent vote,2911,15081,1.0496488649354891
2,01049,100,0,2020-11-03,FIPSCode,presidential,AL,R,24767,4281,250,29298,20201229-0704,19.3244382022471,23.2,15.8,12.7,39233.0,21004.0,,,,bottom 10%,,Rural,South,bottom 10%,2020-10-16 0:00:00,71513,26,0.363570259952735,55,3036,42.4538195852502,90,0.154105636928539,CN0104900000000,8,Aug,32652,31427,1225,3.8,DeKalb,34.7843233916687,0.862706433325117,63.2339166872072,29.3847110006215,70.0393619225191,23.5602748282323,74.7740995211326,21.9544902149771,76.8176675187528,14.0246263455432,82.8815921939131,20285,24135,24015,23863,25826,,top 10% Trump by percent vote,3622,21405,1.1344381630914582
3,01093,100,0,2020-11-03,FIPSCode,presidential,AL,R,12205,1463,115,13783,20201229-0704,8.02936759552811,26.0,14.2,13.1,35392.0,21391.0,,bottom 10%,,,,Rural,South,,2020-10-16 0:00:00,29709,29,0.976135177892221,86,1036,34.8715877343565,82,0.0556834211893979,CN0109300000000,8,Aug,13805,13221,584,4.2,Marion,39.1289554270159,1.06328683225586,58.7784960871044,29.5766990291262,69.7708737864077,21.0441116956697,77.1833265884257,18.5790995456422,80.1073936389921,11.0289587184226,86.8299445471349,11756,12875,12355,12105,12984,,top 10% Trump by percent vote,1432,11274,1.0615372766481823
4,01059,100,0,2020-11-03,FIPSCode,presidential,AL,R,10376,2086,106,12568,20201229-0704,22.9186481516707,23.7,13.9,12.9,40459.0,19776.0,,,,bottom 10%,bottom 10%,Rural,South,bottom 10%,2020-10-16 0:00:00,31362,31,0.988457368790255,86,1952,62.2409285122122,98,0.0628502318081032,CN0105900000000,8,Aug,15263,14706,557,3.6,Franklin,43.1685130145005,0.648473385571467,55.1112311987751,36.7919145814654,62.678294889559,29.6673223295989,68.8275036346532,29.2015839395892,69.6841329772538,18.2475083056478,78.6212624584717,11103,12269,11693,10859,12040,,,2197,9466,1.0438538205980066
5,01073,100,0,2020-11-03,FIPSCode,presidential,AL,R,138843,181688,3578,324109,20201229-0704,49.8611894067514,38.9,16.7,32.4,51979.0,30657.0,,,,,,Large urban,South,,2020-10-16 0:00:00,658573,371,0.563339219797957,70,22030,33.4511132402937,80,0.0827061375414894,CN0107300000000,8,Aug,319705,298587,21118,6.6,Jefferson,47.4457833965875,1.23939319776595,50.5879172861197,45.1538910525758,54.1630968675652,52.1533699187502,47.0674109329281,52.6049789745918,46.6188248145881,51.5705592867639,44.3037433717631,273763,292967,318524,303918,304191,,,156873,134768,1.065478597328652
6,01085,100,0,2020-11-03,FIPSCode,presidential,AL,R,1836,4972,26,6834,20201229-0704,75.52754982415,24.7,16.1,14.1,30833.0,19491.0,,bottom 10%,top 10%,,,Smaller metro,South,top 10%,2020-10-16 0:00:00,9726,27,2.7760641579272,99,693,71.2523133867982,99,0.0336538461538462,CN0108500000000,8,Aug,3737,3220,517,13.8,Lowndes,72.9937530033637,0.288322921672272,26.2373858721768,70.3039362232187,29.6628467032054,74.8694696345149,24.8557295960428,76.4127110756548,23.3479590479989,73.0550568521843,26.1968880909634,6243,6021,7278,7521,6684,top 10% Clinton by percent vote,,4883,1751,1.0224416517055654
7,01055,100,0,2020-11-03,FIPSCode,presidential,AL,R,35528,11567,531,47626,20201229-0704,21.9207491815541,30.2,18.5,17.7,44023.0,24065.0,,,,,,Smaller metro,South,,2020-10-16 0:00:00,102268,49,0.479133257715023,64,3924,38.369773536199,86,0.0866337651655357,CN0105500000000,8,Aug,41397,38435,2962,7.2,Etowah,44.3046660567246,1.10551997560231,53.591033851784,35.9137769447047,63.259137769447,30.1696582247356,68.3885821579453,30.1034563837291,68.4928285915824,23.6436916945928,73.2564985055701,39348,42680,44737,42530,44164,,,10442,32353,1.0783896386196903
8,01089,100,0,2020-11-03,FIPSCode,presidential,AL,R,102780,87286,3699,193765,20201229-0704,35.0836223291195,47.5,15.1,41.7,63417.0,35526.0,top 10%,,,top 10%,,Smaller metro,South,,2020-10-16 0:00:00,372909,92,0.246708982620424,42,8818,23.6465196602924,60,0.0825686399708109,CN0108900000000,8,Aug,183841,175130,8711,4.7,Madison,42.534284050195,1.66346035051801,54.8465380610317,40.1672490882177,58.8828188185744,41.9342180131982,56.8774158104369,39.9944537240663,58.612528134452,38.4493448151344,54.7894901125534,113318,131062,152899,155059,163389,,,62822,89520,1.1859121483086377
9,01007,100,0,2020-11-03,FIPSCode,presidential,AL,R,7525,1986,74,9585,20201229-0704,25.4183868246992,21.9,18.7,11.5,45340.0,20199.0,bottom 10%,,,bottom 10%,,Large suburban,South,,2020-10-16 0:00:00,22394,13,0.580512637313566,71,771,34.4288648745199,81,0.109132871744147,CN0100700000000,8,Aug,8670,8124,546,6.3,Bibb,38.1636389240952,0.732291226587804,60.174623292494,27.4868421052631,72.0,26.5964831096714,72.4433132808884,26.1520190023752,72.8266033254156,21.2495747817212,76.4032203197641,7101,7600,8644,8420,8819,,,1874,6738,1.0868579203991382
10,01107,100,0,2020-11-03,FIPSCode,presidential,AL,R,5594,4022,40,9656,20201229-0704,46.1769632476106,27.7,14.9,13.5,37458.0,22417.0,,,,,,Smaller metro,South,,2020-10-16 0:00:00,19930,17,0.852985449071751,82,775,38.8861013547416,87,0.0885331590983338,CN0110700000000,8,Aug,7917,7438,479,6.1,Pickens,48.5128805620608,0.456674473067915,50.4215456674473,42.8712220762155,56.6141042487954,45.6342505215059,53.9783450879109,46.3531370304859,53.3139111434814,41.6264933976105,57.1787885139383,8540,9132,10067,9611,9542,,,3972,5456,1.0119471808845106
11,01005,100,0,2020-11-03,FIPSCode,presidential,AL,R,5622,4816,68,10506,20201229-0704,53.8515243192925,25.9,14.6,12.2,34186.0,18461.0,bottom 10%,bottom 10%,top 10%,,,Rural,South,,2020-10-16 0:00:00,24686,9,0.364579113667665,55,968,39.2125091144778,87,0.0800526012985944,CN0100500000000,8,Aug,9466,8785,681,7.2,Barbour,49.9086099086099,0.442520442520442,49.023569023569,44.8362252946088,54.7369397791593,48.9853826311264,50.438521066208,51.3684942219132,48.2231297245633,46.5278441111854,52.0966663482663,10395,10777,11630,11509,10469,,,4871,5454,1.0035342439583532
12,01119,100,0,2020-11-03,FIPSCode,presidential,AL,R,1598,4648,37,6283,20201229-0704,75.3484790142472,25.3,23.9,21.8,23132.0,15882.0,,bottom 10%,top 10%,,top 10%,Rural,South,,2020-10-16 0:00:00,12427,21,1.6898688339905,95,463,37.2575842922668,85,0.0437375745526837,CN0111900000000,8,Aug,5031,4702,329,6.5,Sumter,72.5197109067017,0.328515111695138,26.7575558475689,70.3715218405098,29.2243121405254,74.9857549857549,24.6581196581196,77.1452967126796,22.5700868080261,74.0290126345344,24.6607393542349,6088,6433,7020,7027,6411,top 10% Clinton by percent vote,,4746,1581,0.9800343160193418
13,01013,100,0,2020-11-03,FIPSCode,presidential,AL,R,5458,3965,59,9482,20201229-0704,48.1448189762796,26.9,16.0,16.1,39109.0,20430.0,,,,,,Rural,South,,2020-10-16 0:00:00,19448,40,2.05676676264911,97,988,50.8021390374331,95,0.0396310482295005,CN0101300000000,8,Aug,9836,9028,808,8.2,Butler,46.2129950019223,0.461361014994233,52.8899141355888,40.5537072243346,59.1611216730038,43.1352353486455,56.4939746626841,46.06149957877,53.5699241786015,42.6706367384333,56.1268896014658,7803,8416,9709,9496,8732,,,3726,4901,1.0858909757214843
14,01075,100,0,2020-11-03,FIPSCode,presidential,AL,R,6174,978,33,7185,20201229-0704,14.0099045431708,27.1,13.5,12.5,36756.0,21666.0,,bottom 10%,,,bottom 10%,Rural,South,,2020-10-16 0:00:00,13805,5,0.362187613183629,55,441,31.944947482796,78,0.126215480357837,CN0107500000000,8,Aug,6066,5813,253,4.2,Lamar,36.5981514691681,0.786315353841909,61.6636777486549,28.4095860566448,71.0820624546114,22.8127208480565,76.5936395759717,22.9695785654479,76.1512698855707,14.8722365776629,83.5917312661498,7249,6885,7075,7166,6966,,top 10% Trump by percent vote,1036,5823,1.0314384151593454
