,temp_deg,salinity
0,10.5,33.44
1,10.46,33.44
2,10.46,33.437
3,10.45,33.42
4,10.45,33.421
5,10.45,33.431
6,10.45,33.44
7,10.24,33.424
8,10.06,33.42
9,9.86,33.494
10,9.83,33.51
11,9.67,33.58
12,9.5,33.64
13,9.32,33.689
14,8.76,33.847
15,8.71,33.86
16,8.53,33.876
18,8.26,33.926
19,7.96,33.98
20,7.77,33.99
21,6.8,34.04
22,6.55,34.056
23,5.78,34.113
24,5.3,34.16
25,5.29,34.161
26,5.01,34.21
27,4.72,34.261
28,4.44,34.31
29,10.1,32.95
30,9.89,32.94
31,9.75,32.939
32,9.69,32.95
33,9.52,33.013
34,9.06,33.24
35,9.04,33.272
36,8.92,33.46
37,8.83,33.488
38,8.37,33.6
39,8.26,33.631
40,7.85,33.745
41,7.64,33.8
42,7.5,33.833
43,6.98,33.93
44,6.85,33.939
45,6.32,33.943
46,6.05,33.95
47,5.95,33.957
48,5.6,34.0
49,5.5,34.016
50,5.02,34.101
51,4.74,34.16
52,4.62,34.188
53,4.33,34.259
54,4.08,34.319
55,3.99,34.34
56,3.85,34.354
57,3.62,34.378
58,3.38,34.403
59,3.15,34.429
60,3.14,34.43
61,10.2,32.63
62,10.05,32.66
63,9.95,32.66
64,9.94,32.66
65,9.92,32.673
66,9.87,32.68
67,9.62,32.75
68,9.66,32.736
69,9.9,32.66
70,9.65,32.74
71,9.62,32.765
72,9.23,33.12
73,9.21,33.132
74,8.79,33.398
75,8.37,33.605
76,7.71,33.82
77,7.58,33.844
78,6.93,33.926
79,6.47,33.93
80,6.37,33.941
81,5.54,34.041
82,5.02,34.11
83,4.97,34.113
84,4.59,34.135
85,4.31,34.151
86,4.14,34.16
87,4.11,34.169
88,3.89,34.252
89,3.66,34.336
90,3.43,34.421
91,3.35,34.45
92,10.4,32.68
93,10.22,32.7
94,10.2,32.694
95,10.14,32.66
96,10.14,32.657
97,10.07,32.641
99,9.72,32.699
100,9.42,32.79
101,9.32,32.967
102,9.27,33.1
103,9.02,33.286
104,8.6,33.533
105,8.56,33.55
106,8.32,33.746
107,8.18,33.84
108,7.71,33.863
109,7.16,33.89
110,7.08,33.893
111,6.61,33.91
112,6.38,33.75
113,5.79,33.955
114,5.14,34.0
