,alias,categories,coordinates_latitude,coordinates_longitude,display_phone,distance,id,image_url,is_closed,location_address1,location_address2,location_address3,location_city,location_country,location_display_address,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url
0,barrica-94-santiago,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'chilean', 'title': 'Chilean'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",-33.4342880070125,-70.6352240592241,+56 27324939,1390.184857350938,8N6Y3HsLXHBeFwhlO0YxwQ,https://s3-media2.fl.yelpcdn.com/bphoto/nuJaODltnNB6J_ww3g-JyA/o.jpg,False,Bellavista 052,,,Santiago,CL,"['Bellavista 052', 'RM 8320000 Santiago', 'Chile']",RM,8320000,Barrica 94,+5627324939,$$,4.5,72,[],https://www.yelp.com/biz/barrica-94-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
1,mestizo-santiago,"[{'alias': 'chilean', 'title': 'Chilean'}, {'alias': 'international', 'title': 'International'}]",-33.394083457956,-70.600033248157,+56 9 7477 6093,6024.195624577105,KQ2D3gs9y0wIuTqoKOHO4w,https://s3-media3.fl.yelpcdn.com/bphoto/XBkpGrI0Rz7ZVn0Nu3TGhg/o.jpg,False,Av. del Bicentenario 4050,,,Santiago,CL,"['Av. del Bicentenario 4050', 'RM 8320000 Santiago', 'Chile']",RM,8320000,Mestizo,+56974776093,$$$$,4.5,52,[],https://www.yelp.com/biz/mestizo-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
2,galindo-santiago,"[{'alias': 'chilean', 'title': 'Chilean'}, {'alias': 'bars', 'title': 'Bars'}]",-33.433069,-70.634928,+56 2 2777 0116,1480.4705689071582,FTnehJpfn5t3iq_eGcE6pg,https://s3-media2.fl.yelpcdn.com/bphoto/GHOdcjiCfiH30f6T29sUoQ/o.jpg,False,Dardignac 98,,,Santiago,CL,"['Dardignac 98', 'RM 7500000 Santiago', 'Chile']",RM,7500000,Galindo,+56227770116,$$,4.0,57,[],https://www.yelp.com/biz/galindo-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
3,la-diana-santiago,"[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'latin', 'title': 'Latin American'}]",-33.450898,-70.649611,+56 2 2664 9018,2359.673541949187,IUBOvOYsrcyRMdp8V2O06g,https://s3-media3.fl.yelpcdn.com/bphoto/HOSB4Lu1uRHPELjpTYzMWQ/o.jpg,False,Arturo Prat 435,,,Santiago,CL,"['Arturo Prat 435', 'RM 8320000 Santiago', 'Chile']",RM,8320000,La Diana,+56226649018,$$$,4.5,13,[],https://www.yelp.com/biz/la-diana-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
4,la-burguesía-santiago,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",-33.420414,-70.609573,+56 2 2231 3407,3003.568410528073,ioWH5y3-c9AmZAsVabDwAA,https://s3-media2.fl.yelpcdn.com/bphoto/KWRy8w8X5nrufsgQa5NW3w/o.jpg,False,Santa Magdalena 99,,,Santiago,CL,"['Santa Magdalena 99', 'RM 7510038 Santiago', 'Chile']",RM,7510038,La Burguesía,+56222313407,$$,4.5,31,[],https://www.yelp.com/biz/la-burgues%C3%ADa-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
5,in-pasta-santiago,"[{'alias': 'italian', 'title': 'Italian'}]",-33.4466879406616,-70.626129307522,+56 2 2634 7575,316.2550555844538,2K3dN-x3HovH1d_MPh9NIw,https://s3-media2.fl.yelpcdn.com/bphoto/1Z1phb9F8d-6zmA2WFntKQ/o.jpg,False,Sta. Isabel 0395,,,Santiago,CL,"['Sta. Isabel 0395', 'RM 8150000 Santiago', 'Chile']",RM,8150000,In Pasta,+56226347575,$$,5.0,7,[],https://www.yelp.com/biz/in-pasta-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
6,restaurant-peumayén-santiago,"[{'alias': 'latin', 'title': 'Latin American'}]",-33.4328073,-70.6348213,,1498.5204503845584,U15KdCy6HH05WISNtN9plQ,https://s3-media1.fl.yelpcdn.com/bphoto/1kkAJcgLnxqK6S-U6XVlQA/o.jpg,False,Constitución 136,,,Santiago,CL,"['Constitución 136', 'RM 7500000 Santiago', 'Chile']",RM,7500000,Restaurant Peumayén,,$$$$,4.5,60,[],https://www.yelp.com/biz/restaurant-peumay%C3%A9n-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
7,fuente-italiana-santiago,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",-33.4492045,-70.6526558,,2578.2819553788795,DcFioskEgID4sBcF_g5nvA,https://s3-media1.fl.yelpcdn.com/bphoto/4u7FhGqtQF4RJyKZ5keKYQ/o.jpg,False,Paseo Bulnes 251,,,Santiago,CL,"['Paseo Bulnes 251', 'RM Santiago', 'Chile']",RM,,Fuente Italiana,,,5.0,1,[],https://www.yelp.com/biz/fuente-italiana-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
8,fuente-alemana-santiago-2,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",-33.4375198417072,-70.6360235448149,+56 26393231,1197.179790269262,CAFL80wAGOMcPrEO6uMnkA,https://s3-media1.fl.yelpcdn.com/bphoto/BqZVmtoAeW8VfMvCQ8BOog/o.jpg,False,Av. Libertador Bernardo O'Higgins 58,,,Santiago,CL,"[""Av. Libertador Bernardo O'Higgins 58"", 'RM 8320000 Santiago', 'Chile']",RM,8320000,Fuente Alemana,+5626393231,$$,4.5,55,[],https://www.yelp.com/biz/fuente-alemana-santiago-2?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
9,dae-jang-kum-santiago,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'korean', 'title': 'Korean'}]",-33.4318428,-70.6399002,+56 2 2732 4772,1883.818141496471,8dkDcJ_jAc4RPBqmmYKwXA,https://s3-media4.fl.yelpcdn.com/bphoto/joQtcWzs-Cy1aMLl9D6Hvw/o.jpg,False,Bombero Núñez 174,,,Santiago,CL,"['Bombero Núñez 174', 'RM 8420000 Santiago', 'Chile']",RM,8420000,Dae Jang Kum,+56227324772,$$,4.5,9,[],https://www.yelp.com/biz/dae-jang-kum-santiago?adjust_creative=GWOCZh9-BmZxtdsAjr7Gug&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GWOCZh9-BmZxtdsAjr7Gug
