,year,age,cohort,sex,race,educ,realinc,gunlaw,grass,wtssall
0,1972,26.0,1946.0,1,1,18.0,13537.0,2.0,,0.8893
1,1972,38.0,1934.0,2,1,12.0,18951.0,1.0,,0.4446
2,1972,57.0,1915.0,1,1,12.0,30458.0,1.0,,1.3339
3,1972,61.0,1911.0,2,1,14.0,37226.0,1.0,,0.8893
4,1972,59.0,1913.0,1,1,12.0,30458.0,2.0,,0.8893
5,1972,46.0,1926.0,1,1,8.0,18951.0,2.0,,0.8893
6,1972,43.0,1929.0,2,2,8.0,2707.0,1.0,,0.8893
7,1972,72.0,1900.0,2,2,12.0,8122.0,,,0.8893
8,1972,85.0,1887.0,1,1,16.0,30458.0,2.0,,0.8893
9,1972,44.0,1928.0,1,1,12.0,24366.0,1.0,,0.8893
10,1972,36.0,1936.0,1,1,10.0,24366.0,2.0,,0.8893
11,1972,64.0,1908.0,2,2,3.0,8122.0,1.0,,0.8893
12,1972,19.0,1953.0,1,1,11.0,37226.0,2.0,,1.7786
13,1972,61.0,1911.0,2,2,9.0,2707.0,1.0,,0.8893
14,1972,41.0,1931.0,2,1,12.0,50763.0,2.0,,0.8893
15,1972,26.0,1946.0,1,1,16.0,24366.0,1.0,,0.8893
16,1972,50.0,1922.0,1,1,16.0,50763.0,2.0,,0.8893
17,1972,23.0,1949.0,2,2,12.0,13537.0,2.0,,0.8893
18,1972,60.0,1912.0,1,1,10.0,24366.0,1.0,,1.3339
19,1972,22.0,1950.0,1,1,15.0,50763.0,1.0,,1.7786
20,1972,72.0,1900.0,2,1,16.0,8122.0,,,0.8893
21,1972,20.0,1952.0,1,1,12.0,60915.0,1.0,,1.3339
22,1972,64.0,1908.0,1,1,15.0,18951.0,1.0,,0.8893
23,1972,56.0,1916.0,1,1,12.0,37226.0,2.0,,0.8893
24,1972,29.0,1943.0,2,1,13.0,24366.0,1.0,,0.8893
25,1972,54.0,1918.0,1,1,16.0,109355.0,1.0,,1.3339
26,1972,24.0,1948.0,2,2,14.0,18951.0,1.0,,0.8893
27,1972,51.0,1921.0,2,1,13.0,,2.0,,1.3339
28,1972,24.0,1948.0,1,1,11.0,24366.0,1.0,,0.8893
29,1972,20.0,1952.0,1,1,11.0,8122.0,1.0,,1.3339
30,1972,27.0,1945.0,2,1,16.0,8122.0,1.0,,0.4446
31,1972,20.0,1952.0,1,1,14.0,60915.0,2.0,,1.7786
32,1972,54.0,1918.0,2,1,12.0,30458.0,1.0,,1.7786
33,1972,26.0,1946.0,2,1,12.0,24366.0,1.0,,1.3339
34,1972,58.0,1914.0,1,1,8.0,60915.0,1.0,,1.3339
35,1972,45.0,1927.0,1,1,12.0,37226.0,1.0,,2.2232
36,1972,53.0,1919.0,2,1,12.0,37226.0,1.0,,1.3339
37,1972,31.0,1941.0,2,1,20.0,18951.0,1.0,,0.8893
38,1972,19.0,1953.0,1,2,12.0,2707.0,2.0,,2.2232
39,1972,55.0,1917.0,1,1,12.0,30458.0,1.0,,0.8893
40,1972,19.0,1953.0,1,1,12.0,43994.0,1.0,,1.7786
41,1972,29.0,1943.0,2,1,16.0,,,,0.8893
42,1972,21.0,1951.0,2,1,14.0,50763.0,1.0,,1.7786
